"title" "teaser" "links" "date"
"47" "T<U+00C3><U+00BC>rkis-Gr<U+00C3><U+00BC>n ist f<U+00C3><U+00BC>r WKO-Chef Mahrer  spannend und realistisch" "Ein erstes <U+00C3><U+0096>VP-Gr<U+00C3><U+00BC>ne-Projekt? Der Wirtschaftskammer-Pr<U+00C3><U+00A4>sident w<U+00C3><U+00A4>re f<U+00C3><U+00BC>r ein Metronetz rund um Wien bis nach Eisenstadt." "https://www.diepresse.com/5703686/Interview_TuerkisGruen-ist-fuer-WKOChef-Mahrer-spannend-und?from=rss" 2019-10-10
"48" "Diese f<U+00C3><U+00BC>nf Wirtschaftsgeschichten sollten Sie gelesen haben" "Die Wahl ist geschlagen und das wirtschaftliche Schlachtfeld bleibt: Was bleibt von der Thomas Cook-Pleite, warum spricht keiner mehr <U+00C3><U+00BC>ber die Sozialpartner, warum hat sich der neue Notenbank-Gouverneur blamiert. Alles hier nachzulesen." "https://www.diepresse.com/5701121/Wirtschaftswissen-schadet-nicht_Diese-fuenf?from=rss" 2019-10-04
"49" "Wer profitiert vom Rauchverbot?" "In Indien, Brasilien und Teilen der USA wurden E-Zigaretten verboten. Dahinter stecken nicht nur Gesundheitsaspekte, sondern Interessen der Pharmakonzerne und Tabakbauern." "https://www.diepresse.com/5697786/EZigaretten_Wer-profitiert-vom-Rauchverbot?from=rss" 2019-10-02
"50" "Retten H<U+00C3><U+00B6>chstrichter die Shisha-Bars vor dem Ruin?" "Der Kampf der Gastronomen gegen das ab 1. November geltende Gesetz." "https://www.diepresse.com/5700041/Rauchverbot_Retten-Hoechstrichter-die-ShishaBars-vor-dem-Ruin?from=rss" 2019-10-02
"51" "Ist Aluminium im Deodorant wirklich sch<U+00C3><U+00A4>dlich?" "Aluminiumsalze werden als potenziell krebsf<U+00C3><U+00B6>rdernd eingestuft: Ihre h<U+00C3><U+00A4>ufige Nutzung in Achseln<U+00C3><U+00A4>he scheint das Brustkrebsrisiko zu erh<U+00C3><U+00B6>hen." "https://www.diepresse.com/5697355/Forschungsfrage_Ist-Aluminium-im-Deodorant-wirklich-schaedlich?from=rss" 2019-09-28
"52" "Der Umbau unserer Republik in eine One-Man-Show" "Wenn der staatsm<U+00C3><U+00A4>nnische Klartext zum rhetorischen Beiwerk telegenen Erscheinens verk<U+00C3><U+00BC>mmert: <U+00C3><U+00BC>ber den Umbau unserer Republik in eine One-Man-Show. Eine Warnung." "https://www.diepresse.com/5693404/Der-Umbau-unserer-Republik-in-eine-OneManShow?from=rss" 2019-09-22
"53" "Rauchverbot: Kurz gegen Ausnahmewunsch der Wirtschaftskammer" "Der Spitzenkandidat der <U+00C3><U+0096>VP zeigt sich angesichts der W<U+00C3><U+00BC>nsche der Wirtschaftskammer, Raucher-Ausnahmen f<U+00C3><U+00BC>r die Nachtgastronomie zu schaffen, unger<U+00C3><U+00BC>hrt." "https://www.diepresse.com/5690589/Rauchverbot_Kurz-gegen-Ausnahmewunsch-der-Wirtschaftskammer?from=rss" 2019-09-16
"54" "<U+00C3><U+0096>VP: Eltern sollen teilen, deutsche <U+00C3><U+0084>rzte bleiben" "Die Volkspartei m<U+00C3><U+00B6>chte, dass es bis zum zehnten Lebensjahr des Kindes ein automatisches Pensionssplitting gibt. Medizinabsolventen, die in <U+00C3><U+0096>sterreich nicht arbeiten wollen, sollen einen Teil ihrer Studienkosten zur<U+00C3><U+00BC>ckzahlen." "https://www.diepresse.com/5690791/OeVP_Eltern-sollen-teilen-deutsche-Aerzte-bleiben?from=rss" 2019-09-16
"55" "Wirtschaftskammer f<U+00C3><U+00BC>r Sonderregelung beim Rauchverbot" "Um L<U+00C3><U+00A4>rmbel<U+00C3><U+00A4>stigung vorzubeugen, k<U+00C3><U+00B6>nnten Nachtgastronomen Raucherr<U+00C3><U+00A4>ume zugestanden werden, meint Wirtschaftskammer-Generalsekret<U+00C3><U+00A4>r Kopf." "https://www.diepresse.com/5688630/Wirtschaftskammer-fuer-Sonderregelung-beim-Rauchverbot?from=rss" 2019-09-12
"56" "Generelles Rauchverbot nur schwer zu kippen" "Die bisherigen Entscheidungen des Verfassungsgerichtshofs zum Thema Nichtraucherschutz lassen das bevorstehende generelle Rauchverbot in der Gastronomie einigerma<U+00C3><U+009F>en unangreifbar erscheinen." "https://www.diepresse.com/5686585/Generelles-Rauchverbot-nur-schwer-zu-kippen?from=rss" 2019-09-09
